country,id,name
SEHK,680,Nan Hai Corporation Limited
SEHK,681,Chinese People Gas Holdings Company Limited
SEHK,682,Chaoda Modern Agriculture (Holdings) Limited
SEHK,683,Kerry Properties Limited
SEHK,684,Allan International Holdings Limited
SEHK,685,Media Chinese International Limited
SEHK,686,Gay Giano International Group Limited
SEHK,687,Tysan Holdings Limited
SEHK,688,China Overseas Land & Investment Limited
SEHK,690,Uni-Bio Science Group Limited
SEHK,692,Ching Hing (Holdings) Limited
SEHK,693,Tan Chong International Limited
SEHK,694,Beijing Capital International Airport Company Limited
SEHK,696,Travelsky Technology Limited
SEHK,697,Shougang Concord International Enterprises Company Limited
SEHK,698,Tongda Group Holdings Limited
SEHK,699,Chia Hsin Cement Greater China Holding Corporation
SEHK,700,Tencent Holdings Limited
SEHK,701,CNT Group Ltd.
SEHK,702,Genesis Energy Holdings
SEHK,703,Innovo Leisure Recreation Holdings Ltd.
SEHK,706,FinTronics Holdings Company Limited
SEHK,708,New Media Group Holdings Limited
SEHK,709,Giordano International Limited
SEHK,710,Varitronix International Ltd.
SEHK,715,China Oceanwide Holdings Limited
SEHK,716,Singamas Container Holdings Ltd.
SEHK,717,Emperor Capital Group Limited
SEHK,722,"Delta Network,Inc."
SEHK,723,Anex International Holdings Ltd.
SEHK,725,Perennial International Ltd.
SEHK,727,VXL Capital Limited
SEHK,728,China Telecom Corporation Limited
SEHK,729,Carico Holdings Limited
SEHK,731,Samson Paper Holdings Limited
SEHK,732,Truly International Holdings Limited
SEHK,733,Hopefluent Group Holdings Limited
SEHK,735,China Power New Energy Development Company Limited
SEHK,736,China Properties Investment Holdings Ltd.
SEHK,737,Hopewell Highway Infrastructure
SEHK,738,Le Saunda Holdings Ltd.
SEHK,746,Lee & Man Holding Limited
SEHK,751,Skyworth Digital Holdings Co Ltd
SEHK,752,Pico Far East Holdings Ltd.
SEHK,753,Air China
SEHK,754,Hopson Development
SEHK,757,Solargiga Energy Holdings Limited
SEHK,759,CEC International Holdings Ltd.
SEHK,760,Tomorrow International Holdings Ltd
SEHK,761,Peking Apparel Int'l Group Ltd.
SEHK,762,China Unicom (Hong Kong) Limited
SEHK,763,ZTE Corporation
SEHK,769,China RareEarth
SEHK,771,Automated Systems Holdings Ltd.
SEHK,773,China Metal Recycling
SEHK,775,CK Life Sciences
SEHK,778,Fortune REIT
SEHK,800,A8 Digital Music Holdings Ltd
SEHK,801,Golden Meditech Holdings Ltd
SEHK,802,RCG Holdings Ltd
SEHK,805,Glencore
SEHK,806,Value Partners Group Limited
SEHK,809,Global Bio-chem Technology Group
SEHK,813,Shimao Property
SEHK,817,Franshion Properties (China) Limited
SEHK,818,Hi Sun Technology China Limited
SEHK,819,Tianneng Power International Ltd.
SEHK,820,HSBC China Dragon Fund
SEHK,822,Ka Shui International
SEHK,823,The Link Real Estate Investment Trust
SEHK,825,New World Department Store China
